NAME,median_household_income,zip_code,ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,county_fips
ZCTA5 60418,69237,60418,60418,17031823602,CRESTWOOD,IL,0.41128584643848287,0.22988505747126436,0.3933415536374846,0.39091435185185186,17031
ZCTA5 60418,69237,60418,60418,17031824503,CRESTWOOD,IL,0.4366327474560592,0.06609195402298851,0.4475955610357583,0.4006076388888889,17031
ZCTA5 60418,69237,60418,60418,17031823605,CRESTWOOD,IL,0,0.0014367816091954023,0,0.00014467592592592592,17031
ZCTA5 60418,69237,60418,60418,17031824701,CRESTWOOD,IL,0.00018501387604070305,0,0,0.00014467592592592592,17031
ZCTA5 60418,69237,60418,60418,17031824601,CRESTWOOD,IL,0.02497687326549491,0.05172413793103448,0.012330456226880395,0.02618634259259259,17031
ZCTA5 60418,69237,60418,60418,17031824400,CRESTWOOD,IL,0.12562442183163738,0.5660919540229885,0.13933415536374846,0.17158564814814814,17031
ZCTA5 60418,69237,60418,60418,17031824300,CRESTWOOD,IL,0.0007400555041628122,0,0,0.0005787037037037037,17031
ZCTA5 60418,69237,60418,60418,17031823603,CRESTWOOD,IL,0.0005550416281221092,0.08477011494252873,0.007398273736128237,0.009837962962962963,17031
ZCTA5 60419,58706,60419,60419,17031826304,DOLTON,IL,0.14469712215737573,0.15160796324655437,0.3867403314917127,0.16058329650905878,17031
ZCTA5 60419,58706,60419,60419,17031827802,DOLTON,IL,0,0.0015313935681470138,0,8.837825894829872e-05,17031
ZCTA5 60419,58706,60419,60419,17031826401,DOLTON,IL,0.2542765143892131,0.28177641653905056,0.2154696132596685,0.2533804684047724,17031
ZCTA5 60419,58706,60419,60419,17031826600,DOLTON,IL,0.0015093580197222782,0,0,0.0013256738842244808,17031
ZCTA5 60419,58706,60419,60419,17031826402,DOLTON,IL,0.19138659690078486,0.16845329249617153,0.019337016574585635,0.1790543526292532,17031
ZCTA5 60419,58706,60419,60419,17031825801,DOLTON,IL,0.0001006238679814852,0.0030627871362940277,0,0.0002651347768448962,17031
ZCTA5 60419,58706,60419,60419,17031826301,DOLTON,IL,0.06852485409539143,0.06125574272588055,0.12154696132596685,0.07149801148917366,17031
ZCTA5 60419,58706,60419,60419,17031826303,DOLTON,IL,0.08875025155966995,0.042879019908116385,0.011049723756906077,0.08113124171453823,17031
ZCTA5 60419,58706,60419,60419,17031826500,DOLTON,IL,0.23837794324813846,0.2879019908116386,0.2430939226519337,0.2415377817057004,17031
ZCTA5 60419,58706,60419,60419,17031826201,DOLTON,IL,0.012376735761722681,0.0015313935681470138,0.0027624309392265192,0.011135660627485638,17031
ZCTA5 60422,134728,60422,60422,17031829800,FLOSSMOOR,IL,0.5564629024731684,0.5458015267175572,0.5401459854014599,0.5548817465130382,17031
ZCTA5 60422,134728,60422,60422,17031829301,FLOSSMOOR,IL,0.015398973401773215,0,0.0072992700729927005,0.013543561754598747,17031
ZCTA5 60422,134728,60422,60422,17031829902,FLOSSMOOR,IL,0.23355109659356044,0.4064885496183206,0.4306569343065693,0.25732767333737616,17031
ZCTA5 60422,134728,60422,60422,17031828601,FLOSSMOOR,IL,0,0.003816793893129771,0,0.0004042854255104103,17031
ZCTA5 60422,134728,60422,60422,17031828801,FLOSSMOOR,IL,0.1945870275314979,0.04389312977099236,0.021897810218978103,0.17384273296947644,17031
ZCTA5 60423,137651,60423,60423,17031830008,FRANKFORT,IL,0.0004997144488863507,0,0,0.000425454324439312,17031
ZCTA5 60423,137651,60423,60423,17031830001,FRANKFORT,IL,0,0.00199203187250996,0,0.000243116756822464,17031
ZCTA5 60423,137651,60423,60423,17031830003,FRANKFORT,IL,0.0005711022272986865,0,0,0.000486233513644928,17031
ZCTA5 60423,137651,60423,60423,17031829904,FRANKFORT,IL,0.00014277555682467162,0,0,0.000121558378411232,17031
ZCTA5 60425,71348,60425,60425,17031828602,GLENWOOD,IL,0,0.05063291139240506,0,0.003469963131641726,17031
ZCTA5 60425,71348,60425,60425,17031828300,GLENWOOD,IL,0.1178553363682347,0.028481012658227847,0.15542521994134897,0.11450878334417697,17031
ZCTA5 60425,71348,60425,60425,17031828702,GLENWOOD,IL,0.47698533131006576,0.18037974683544303,0.5219941348973607,0.45998698763825635,17031
ZCTA5 60425,71348,60425,60425,17031828701,GLENWOOD,IL,0.40515933232169954,0.740506329113924,0.3225806451612903,0.42203426588592496,17031
ZCTA5 60426,40995,60426,60426,17031828402,HARVEY,IL,0,0.014506769825918761,0,0.0009376758142151654,17031
ZCTA5 60426,40995,60426,60426,17031827200,HARVEY,IL,0.0993769710022306,0.08123791102514506,0.0891946992864424,0.0969556791898481,17031
ZCTA5 60426,40995,60426,60426,17031828300,HARVEY,IL,0,0.007736943907156673,0,0.0005000937675814216,17031
ZCTA5 60426,40995,60426,60426,17031824800,HARVEY,IL,0.04984231982155219,0.0038684719535783366,0.012232415902140673,0.04225792336063012,17031
ZCTA5 60426,40995,60426,60426,17031824900,HARVEY,IL,0.0013075917237135605,0,0,0.0010626992561105207,17031
ZCTA5 60426,40995,60426,60426,17031827801,HARVEY,IL,0.0013845088839320053,0,0,0.0011252109770581984,17031
ZCTA5 60426,40995,60426,60426,17031827000,HARVEY,IL,0.10906853318975464,0.04932301740812379,0.06982670744138635,0.10039382384197038,17031
ZCTA5 60426,40995,60426,60426,17031826800,HARVEY,IL,0.05830320744558111,0.041586073500967116,0.0061162079510703364,0.05082202913046196,17031
